"","score","sensitivities","specificities","PPV","NPV"
"1",-Inf,1,0,0.0593563766388558,NA
"2",-4.73857689227657,1,0.000253421186011151,0.0593705293276109,1
"3",-4.69418677778692,1,0.000506842372022301,0.0593846887669926,1
"4",-4.66026408465799,1,0.000760263558033452,0.0593988549618321,1
"5",-4.64017075070775,1,0.0010136847440446,0.0594130279169649,1
"6",-4.62036707415063,1,0.00126710593005575,0.0594272076372315,1
"7",-4.60662420246319,1,0.0015205271160669,0.0594413941274767,1
"8",-4.59282367244825,1,0.00177394830207805,0.0594555873925501,1
"9",-4.58012411367826,1,0.0020273694880892,0.059469787437306,1
"10",-4.56020512046613,1,0.00228079067410035,0.059483994266603,1
"11",-4.51606488147079,1,0.00253421186011151,0.0594982078853047,1
"12",-4.48747680109534,1,0.00278763304612266,0.0595124282982792,1
"13",-4.48082017076635,1,0.00304105423213381,0.0595266555103992,1
"14",-4.46733586977382,1,0.00329447541814496,0.0595408895265423,1
"15",-4.45556430726628,1,0.00354789660415611,0.0595551303515905,1
"16",-4.43991004226089,1,0.00380131779016726,0.0595693779904306,1
"17",-4.40604500745946,1,0.00405473897617841,0.0595836324479541,1
"18",-4.38198022598566,1,0.00430816016218956,0.059597893729057,1
"19",-4.3726151416255,1,0.00456158134820071,0.0596121618386402,1
"20",-4.36493509617737,1,0.00481500253421186,0.0596264367816092,1
"21",-4.36371744252181,1,0.00506842372022301,0.0596407185628743,1
"22",-4.35834593195084,1,0.00532184490623416,0.0596550071873503,1
"23",-4.35225065325772,1,0.00557526609224531,0.0596693026599569,1
"24",-4.35040353444373,1,0.00582868727825646,0.0596836049856184,1
"25",-4.34762655607167,1,0.00608210846426761,0.059697914169264,1
"26",-4.33617374910318,1,0.00633552965027876,0.0597122302158273,1
"27",-4.32631583744804,1,0.00658895083628991,0.0597265531302471,1
"28",-4.32259939123364,1,0.00684237202230106,0.0597408829174664,1
"29",-4.30471275265416,1,0.00709579320831222,0.0597552195824334,1
"30",-4.28847691532809,1,0.00734921439432337,0.0597695631301008,1
"31",-4.2829357455475,1,0.00760263558033452,0.0597839135654262,1
"32",-4.27520035652875,1,0.00785605676634567,0.0597982708933718,1
"33",-4.26937291648028,1,0.00810947795235682,0.0598126351189046,1
"34",-4.26431665944617,1,0.00836289913836797,0.0598270062469966,1
"35",-4.25260721643073,1,0.00861632032437912,0.0598413842826244,1
"36",-4.24353299944307,1,0.00886974151039027,0.0598557692307692,1
"37",-4.24159161620034,1,0.00912316269640142,0.0598701610964174,1
"38",-4.2380583617009,1,0.00937658388241257,0.0598845598845599,1
"39",-4.23634232281234,1,0.00963000506842372,0.0598989656001924,1
"40",-4.23480725663926,1,0.00988342625443487,0.0599133782483157,1
"41",-4.22877664668894,1,0.010136847440446,0.059927797833935,1
"42",-4.22202013633867,1,0.0103902686264572,0.0599422243620607,1
"43",-4.21773439444065,1,0.0106436898124683,0.0599566578377077,1
"44",-4.21544323294828,1,0.0108971109984795,0.059971098265896,1
"45",-4.21207437143667,1,0.0111505321844906,0.0599855456516502,1
"46",-4.20529010596201,1,0.0114039533705018,0.06,1
"47",-4.20087117098031,1,0.0116573745565129,0.0600144613159798,1
"48",-4.19947917658663,1,0.0119107957425241,0.0600289296046287,1
"49",-4.1980583530292,1,0.0121642169285352,0.0600434048709911,1
"50",-4.19565187488182,1,0.0124176381145464,0.0600578871201158,1
"51",-4.19336546627029,1,0.0126710593005575,0.0600723763570567,1
"52",-4.1926406399097,1,0.0129244804865687,0.0600868725868726,1
"53",-4.18798076079913,1,0.0131779016725798,0.0601013758146271,1
"54",-4.18241414898003,1,0.013431322858591,0.0601158860453887,1
"55",-4.1804593504732,1,0.0136847440446021,0.0601304032842309,1
"56",-4.17921625477912,1,0.0139381652306133,0.0601449275362319,1
"57",-4.17769662523977,1,0.0141915864166244,0.060159458806475,1
"58",-4.17568749997926,1,0.0144450076026356,0.0601739971000483,1
"59",-4.1748706281894,1,0.0146984287886467,0.060188542422045,1
"60",-4.17443545922192,1,0.0149518499746579,0.0602030947775629,1
"61",-4.17271373382007,1,0.015205271160669,0.060217654171705,1
"62",-4.16993534482434,1,0.0154586923466802,0.0602322206095791,1
"63",-4.16762659861952,1,0.0157121135326913,0.0602467940962981,1
"64",-4.16591611766898,1,0.0159655347187025,0.0602613746369797,1
"65",-4.16179915857106,1,0.0162189559047136,0.0602759622367466,1
"66",-4.15829034342312,1,0.0164723770907248,0.0602905569007264,1
"67",-4.15759434622628,1,0.0167257982767359,0.0603051586340518,1
"68",-4.15600393481158,1,0.0169792194627471,0.0603197674418605,1
"69",-4.15457215851909,1,0.0172326406487582,0.0603343833292949,1
"70",-4.15421252430781,1,0.0174860618347694,0.0603490063015027,1
"71",-4.15399815180824,1,0.0177394830207805,0.0603636363636364,1
"72",-4.15308800725742,1,0.0179929042067917,0.0603782735208535,1
"73",-4.15177719227961,1,0.0182463253928028,0.0603929177783168,1
"74",-4.15095559232598,1,0.0190065889508363,0.0604368932038835,1
"75",-4.15028166374024,1,0.0192600101368474,0.0604515659140568,1
"76",-4.148754443874,1,0.0195134313228586,0.0604662457503643,1
"77",-4.14595313935638,1,0.0197668525088697,0.0604809327179985,1
"78",-4.1434890028815,1,0.0200202736948809,0.0604956268221574,1
"79",-4.14224805328314,1,0.020273694880892,0.0605103280680437,1
"80",-4.13980245987022,1,0.0205271160669032,0.0605250364608653,1
"81",-4.13762325262467,1,0.0207805372529143,0.0605397520058352,1
"82",-4.13466628885481,1,0.0210339584389255,0.0605544747081712,1
