"","score","sensitivities","specificities","PPV","NPV"
"1",-Inf,1,0,0.0593563766388558,NA
"2",-4.1577829197014,1,0.000253421186011151,0.0593705293276109,1
"3",-4.14011507281988,1,0.000506842372022301,0.0593846887669926,1
"4",-4.12633716546044,1,0.000760263558033452,0.0593988549618321,1
"5",-4.11028518128244,1,0.0010136847440446,0.0594130279169649,1
"6",-4.09969435645927,1,0.00126710593005575,0.0594272076372315,1
"7",-4.0897965070088,1,0.0015205271160669,0.0594413941274767,1
"8",-4.07964209833948,1,0.00177394830207805,0.0594555873925501,1
"9",-4.06681195795541,1,0.0020273694880892,0.059469787437306,1
"10",-4.05841835979995,1,0.00228079067410035,0.059483994266603,1
"11",-4.03996426450766,1,0.00253421186011151,0.0594982078853047,1
"12",-4.00171842760775,1,0.00278763304612266,0.0595124282982792,1
"13",-3.97953782684117,1,0.00304105423213381,0.0595266555103992,1
"14",-3.97622712058566,1,0.00329447541814496,0.0595408895265423,1
"15",-3.96475865230365,1,0.00354789660415611,0.0595551303515905,1
"16",-3.95276505210796,1,0.00380131779016726,0.0595693779904306,1
"17",-3.93843129892327,1,0.00405473897617841,0.0595836324479541,1
"18",-3.92597778592383,1,0.00430816016218956,0.059597893729057,1
"19",-3.92429116120938,1,0.00456158134820071,0.0596121618386402,1
"20",-3.92199141838486,1,0.00481500253421186,0.0596264367816092,1
"21",-3.92081034771806,1,0.00506842372022301,0.0596407185628743,1
"22",-3.91639150536546,1,0.00532184490623416,0.0596550071873503,1
"23",-3.91012738334658,1,0.00557526609224531,0.0596693026599569,1
"24",-3.90391345984984,1,0.00582868727825646,0.0596836049856184,1
"25",-3.90000738865761,1,0.00608210846426761,0.059697914169264,1
"26",-3.89970810205119,1,0.00633552965027876,0.0597122302158273,1
"27",-3.88923597600352,1,0.00658895083628991,0.0597265531302471,1
"28",-3.87663050181606,1,0.00684237202230106,0.0597408829174664,1
"29",-3.87246929685552,1,0.00709579320831222,0.0597552195824334,1
"30",-3.87026187431684,1,0.00734921439432337,0.0597695631301008,1
"31",-3.86922752344453,1,0.00760263558033452,0.0597839135654262,1
"32",-3.86759523785377,1,0.00785605676634567,0.0597982708933718,1
"33",-3.86068037285441,1,0.00810947795235682,0.0598126351189046,1
"34",-3.85056008694836,1,0.00836289913836797,0.0598270062469966,1
"35",-3.84144646450366,1,0.00861632032437912,0.0598413842826244,1
"36",-3.835847537107,1,0.00886974151039027,0.0598557692307692,1
"37",-3.83484087364564,1,0.00912316269640142,0.0598701610964174,1
"38",-3.83442046824094,1,0.00937658388241257,0.0598845598845599,1
"39",-3.8319330502185,1,0.00963000506842372,0.0598989656001924,1
"40",-3.8281693159098,1,0.00988342625443487,0.0599133782483157,1
"41",-3.82636577800835,1,0.010136847440446,0.059927797833935,1
"42",-3.82235704730926,1,0.0103902686264572,0.0599422243620607,1
"43",-3.81737404572417,1,0.0106436898124683,0.0599566578377077,1
"44",-3.81512923161008,1,0.0108971109984795,0.059971098265896,1
"45",-3.81347959342061,1,0.0111505321844906,0.0599855456516502,1
"46",-3.81261754549147,1,0.0114039533705018,0.06,1
"47",-3.81215546333165,1,0.0116573745565129,0.0600144613159798,1
"48",-3.81099574251505,1,0.0119107957425241,0.0600289296046287,1
"49",-3.80981228712879,1,0.0121642169285352,0.0600434048709911,1
"50",-3.80698033862793,1,0.0124176381145464,0.0600578871201158,1
"51",-3.80286479171835,1,0.0126710593005575,0.0600723763570567,1
"52",-3.80040303970187,1,0.0129244804865687,0.0600868725868726,1
"53",-3.79919772773596,1,0.0131779016725798,0.0601013758146271,1
"54",-3.79768337946443,1,0.013431322858591,0.0601158860453887,1
"55",-3.7948031105804,1,0.0136847440446021,0.0601304032842309,1
"56",-3.79178729630793,1,0.0139381652306133,0.0601449275362319,1
"57",-3.79033422915779,1,0.0141915864166244,0.060159458806475,1
"58",-3.78912894528417,1,0.0144450076026356,0.0601739971000483,1
"59",-3.78788343851716,1,0.0146984287886467,0.060188542422045,1
"60",-3.78637061056574,1,0.0149518499746579,0.0602030947775629,1
"61",-3.78450460795853,1,0.015205271160669,0.060217654171705,1
"62",-3.78380366645591,1,0.0154586923466802,0.0602322206095791,1
"63",-3.78334222279049,1,0.0157121135326913,0.0602467940962981,1
"64",-3.78207869726485,1,0.0159655347187025,0.0602613746369797,1
"65",-3.77706538234281,1,0.0162189559047136,0.0602759622367466,1
"66",-3.77279025986838,1,0.0164723770907248,0.0602905569007264,1
"67",-3.77234177694119,1,0.0167257982767359,0.0603051586340518,1
"68",-3.76880306656391,1,0.0169792194627471,0.0603197674418605,1
"69",-3.76499061568707,1,0.0172326406487582,0.0603343833292949,1
"70",-3.76395452079853,1,0.0174860618347694,0.0603490063015027,1
"71",-3.76307436085529,1,0.0177394830207805,0.0603636363636364,1
"72",-3.76253783902319,1,0.0179929042067917,0.0603782735208535,1
"73",-3.76238428658853,1,0.0182463253928028,0.0603929177783168,1
"74",-3.76039243499477,1,0.018499746578814,0.0604075691411936,1
"75",-3.75844633400244,1,0.0190065889508363,0.0604368932038835,1
"76",-3.7572142109557,1,0.0192600101368474,0.0604515659140568,1
"77",-3.75573245458575,1,0.0195134313228586,0.0604662457503643,1
"78",-3.75545184161224,1,0.0197668525088697,0.0604809327179985,1
"79",-3.75488208938415,1,0.0200202736948809,0.0604956268221574,1
"80",-3.75367636630206,1,0.020273694880892,0.0605103280680437,1
"81",-3.75275032399242,1,0.0205271160669032,0.0605250364608653,1
"82",-3.75194158065658,1,0.0207805372529143,0.0605397520058352,1
