"","score","sensitivities","specificities","PPV","NPV"
"1",-Inf,1,0,0.0593563766388558,NA
"2",0.0267754667519881,1,0.000253421186011151,0.0593705293276109,1
"3",0.0288015384352456,1,0.000506842372022301,0.0593846887669926,1
"4",0.0316330016670606,1,0.000760263558033452,0.0593988549618321,1
"5",0.0326922525822494,1,0.0010136847440446,0.0594130279169649,1
"6",0.0328709905467314,1,0.00126710593005575,0.0594272076372315,1
"7",0.0330567102558821,1,0.0015205271160669,0.0594413941274767,1
"8",0.0332236308382288,1,0.00177394830207805,0.0594555873925501,1
"9",0.0335695390624256,1,0.0020273694880892,0.059469787437306,1
"10",0.0346277335651844,1,0.00228079067410035,0.059483994266603,1
"11",0.0357491173150955,1,0.00253421186011151,0.0594982078853047,1
"12",0.0362500029768873,1,0.00278763304612266,0.0595124282982792,1
"13",0.0369511027150854,1,0.00304105423213381,0.0595266555103992,1
"14",0.0375768764191329,1,0.00329447541814496,0.0595408895265423,1
"15",0.0383591021876263,1,0.00354789660415611,0.0595551303515905,1
"16",0.0391378610314612,1,0.00380131779016726,0.0595693779904306,1
"17",0.0393694046064121,1,0.00405473897617841,0.0595836324479541,1
"18",0.039626666087983,1,0.00430816016218956,0.059597893729057,1
"19",0.0398312256498924,1,0.00456158134820071,0.0596121618386402,1
"20",0.0400359325669667,1,0.00481500253421186,0.0596264367816092,1
"21",0.0402657576427018,1,0.00506842372022301,0.0596407185628743,1
"22",0.0404653486954772,1,0.00532184490623416,0.0596550071873503,1
"23",0.0406255021914598,1,0.00557526609224531,0.0596693026599569,1
"24",0.040713171728926,1,0.00582868727825646,0.0596836049856184,1
"25",0.0408103326973649,1,0.00608210846426761,0.059697914169264,1
"26",0.0409841103499146,1,0.00633552965027876,0.0597122302158273,1
"27",0.0411317427744469,1,0.00658895083628991,0.0597265531302471,1
"28",0.041332852466829,1,0.00684237202230106,0.0597408829174664,1
"29",0.0415558364337125,1,0.00709579320831222,0.0597552195824334,1
"30",0.0416640579743484,1,0.00734921439432337,0.0597695631301008,1
"31",0.0419050313462773,1,0.00760263558033452,0.0597839135654262,1
"32",0.0421680378438247,1,0.00785605676634567,0.0597982708933718,1
"33",0.0423881574327022,1,0.00810947795235682,0.0598126351189046,1
"34",0.04283471082382,1,0.00836289913836797,0.0598270062469966,1
"35",0.0431484171836971,1,0.00861632032437912,0.0598413842826244,1
"36",0.0432191139532658,1,0.00886974151039027,0.0598557692307692,1
"37",0.043306122661371,1,0.00912316269640142,0.0598701610964174,1
"38",0.0433395203672708,1,0.00937658388241257,0.0598845598845599,1
"39",0.0434294195440831,1,0.00963000506842372,0.0598989656001924,1
"40",0.0436118214566741,1,0.00988342625443487,0.0599133782483157,1
"41",0.0437250419481327,1,0.010136847440446,0.059927797833935,1
"42",0.0437948663695395,1,0.0103902686264572,0.0599422243620607,1
"43",0.0438964235110312,1,0.0106436898124683,0.0599566578377077,1
"44",0.0440054784326577,1,0.0108971109984795,0.059971098265896,1
"45",0.0441189099986029,1,0.0111505321844906,0.0599855456516502,1
"46",0.0442051858491782,1,0.0114039533705018,0.06,1
"47",0.044288524393209,1,0.0116573745565129,0.0600144613159798,1
"48",0.0444825412260162,1,0.0119107957425241,0.0600289296046287,1
"49",0.0446608366250939,1,0.0121642169285352,0.0600434048709911,1
"50",0.0447142730762188,1,0.0124176381145464,0.0600578871201158,1
"51",0.044805094752285,1,0.0126710593005575,0.0600723763570567,1
"52",0.0449052413758225,1,0.0129244804865687,0.0600868725868726,1
"53",0.0449515293058886,1,0.0131779016725798,0.0601013758146271,1
"54",0.0450189275309965,1,0.013431322858591,0.0601158860453887,1
"55",0.0451265911051092,1,0.0136847440446021,0.0601304032842309,1
"56",0.0451999863657555,1,0.0139381652306133,0.0601449275362319,1
"57",0.0453983879556855,1,0.0141915864166244,0.060159458806475,1
"58",0.0457066219078238,1,0.0144450076026356,0.0601739971000483,1
"59",0.0458383907126935,1,0.0146984287886467,0.060188542422045,1
"60",0.0458735213098531,1,0.0149518499746579,0.0602030947775629,1
"61",0.0459314145736615,1,0.015205271160669,0.060217654171705,1
"62",0.0459559045936136,1,0.0154586923466802,0.0602322206095791,1
"63",0.0460216187210068,1,0.0157121135326913,0.0602467940962981,1
"64",0.0461254753231197,1,0.0159655347187025,0.0602613746369797,1
"65",0.046176110750856,1,0.0162189559047136,0.0602759622367466,1
"66",0.0462834806696539,1,0.0164723770907248,0.0602905569007264,1
"67",0.0464090602936123,1,0.0167257982767359,0.0603051586340518,1
"68",0.0464869278781119,1,0.0169792194627471,0.0603197674418605,1
"69",0.0465891696335056,1,0.0172326406487582,0.0603343833292949,1
"70",0.046681076184466,1,0.0174860618347694,0.0603490063015027,1
"71",0.0467275074230326,1,0.0177394830207805,0.0603636363636364,1
"72",0.0467356458357119,1,0.0179929042067917,0.0603782735208535,1
"73",0.0467938177468908,1,0.0182463253928028,0.0603929177783168,1
"74",0.0469771695810588,1,0.018499746578814,0.0604075691411936,1
"75",0.0471623841116552,1,0.0187531677648251,0.0604222276146566,1
"76",0.0472440615213022,1,0.0190065889508363,0.0604368932038835,1
"77",0.0472669527864493,1,0.0192600101368474,0.0604515659140568,1
"78",0.0472698585446827,1,0.0195134313228586,0.0604662457503643,1
"79",0.0473078587979923,1,0.0197668525088697,0.0604809327179985,1
"80",0.0473608269105635,1,0.0200202736948809,0.0604956268221574,1
"81",0.0473940228991991,1,0.020273694880892,0.0605103280680437,1
"82",0.0474120987839886,1,0.0205271160669032,0.0605250364608653,1
